rho, E[N], P_IDLE
0.25,0.07644202945148222,0.7554176580284226
0.35,0.19017225294104262,0.6492138257446469
0.45,0.3604666744088404,0.5511117463663895
0.55,0.6744147022988757,0.44791233484354365
0.65,1.20405018981413,0.3503857910565498
0.75,2.2162039726487346,0.2517520905171265
0.85,4.716848050825157,0.14971711589789857
0.95,16.729910845333848,0.048670228380203136
